SPEC_ID,NAME,RA,DEC,Z,Quality
766,g0005101-231424,1.29225,-23.24005556,0.02712,4
767,g0003386-224450,0.91070833,-22.74716667,0.064016,4
770,g0001092-215946,0.28841667,-21.99619444,0.080849,4
772,g0001104-220952,0.29329167,-22.16436111,0.087629,4
775,g0003302-222734,0.87570833,-22.4595,0.011881,4
776,g0001228-213301,0.345,-21.55027778,0.206127,4
779,g0004321-220502,1.133625,-22.08386111,0.010261,4
780,g0005051-214955,1.271125,-21.83194444,0.081081,4
781,g0005370-214103,1.40416667,-21.68427778,0.2574,4
782,g0004101-203350,1.041875,-20.56391667,0.069771,4
783,g0005203-201410,1.33475,-20.23605556,0.064489,4
784,g0008421-204306,2.175375,-20.71841667,0.053183,4
785,g0010543-210403,2.72604167,-21.06744444,0.026194,4
787,g0011175-214529,2.82295833,-21.75791667,0.060873,4
788,g0011449-215925,2.93708333,-21.99013889,0.06003,4
789,g0017478-222320,4.449125,-22.38883333,0.108074,4
790,g0010321-224931,2.63354167,-22.82516667,0.059312,4
791,g0019115-224006,4.79808333,-22.66833333,0.002176,4
792,g0019143-224644,4.80945833,-22.77897222,0.025442,4
793,g0014138-230609,3.55754167,-23.10247222,0.117552,4
794,g0016177-232541,4.07391667,-23.42811111,0.240607,3
795,g0016176-233911,4.07341667,-23.65297222,0.065193,4
796,g0015436-234201,3.93175,-23.70038889,0.06431,4
797,g0015581-234731,3.992,-23.79197222,0.06625,4
798,g0015110-235255,3.795625,-23.88197222,0.064489,4
799,g0017358-241233,4.39925,-24.20922222,0.061843,4
800,g0014260-241012,3.60833333,-24.16994444,0.026013,4
801,g0015073-240544,3.78045833,-24.09552778,0.025963,4
803,g0006125-225109,1.55216667,-22.85258333,0.027071,4
805,g0012537-241657,3.22366667,-24.28244444,0.023762,4
807,g0012583-243801,3.24279167,-24.63352778,0.069081,4
809,g0009562-245752,2.484125,-24.96438889,0.001801,4
810,g0008101-244005,2.042125,-24.668,0.0523,4
811,g0008332-253105,2.13825,-25.518,0.064299,4
813,g0007374-191458,1.906,-19.24936111,0.087373,4
814,g0005582-194053,1.4925,-19.68147222,0.070352,4
815,g0006046-190004,1.51925,-19.00116667,0.088153,4
816,g0003575-195702,0.98954167,-19.95052778,0.066361,4
817,g0003553-194058,0.98029167,-19.68263889,0.094422,4
818,g0003089-195221,0.78720833,-19.87236111,0.065821,4
819,g0005445-183651,1.43554167,-18.61413889,0.053211,4
820,g0007133-183506,1.80525,-18.58488889,0.065126,4
